Table 6,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,
"by City, 2016",,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
"Abington Township, Montgomery County","55,623",49,0,5,,28,16,"1,089",84,977,28,3
Adamstown,"1,848",1,0,0,,0,1,17,6,11,0,0
"Adams Township, Butler County","13,531",5,0,1,,0,4,46,2,44,0,0
Akron,"4,014",5,0,1,,0,4,29,6,23,0,1
Albion,"1,459",7,0,1,,0,6,25,12,13,0,1
Aldan,"4,168",7,0,1,,1,5,80,7,72,1,1
Aleppo Township,"1,903",0,0,0,,0,0,4,0,4,0,0
"Allegheny Township, Blair County","6,652",29,0,1,,1,27,158,1,153,4,2
"Allegheny Township, Westmoreland County","8,213",7,0,0,,2,5,75,17,58,0,0
Allentown,"120,615",552,10,55,,274,213,"3,337",668,"2,387",282,18
Altoona,"45,158",156,1,23,,37,95,821,169,619,33,7
Ambler,"6,517",10,2,3,,1,4,67,3,61,3,0
Ambridge,"6,822",94,0,0,,17,77,240,64,169,7,1
Amity Township,"12,884",9,1,2,,4,2,99,23,75,1,0
Annville Township,"4,835",15,0,0,,1,14,48,4,42,2,1
Apollo,"1,577",1,0,1,,0,0,11,2,9,0,0
Archbald,"6,951",12,0,0,,1,11,61,12,49,0,0
Armagh Township,"3,813",2,0,1,,0,1,20,5,14,1,0
Ashley,"2,714",4,0,1,,1,2,68,10,56,2,0
Aspinwall,"2,756",1,0,0,,0,1,38,4,33,1,0
Aston Township,"16,828",7,1,0,,5,1,184,21,154,9,1
Athens,"3,234",5,0,3,,0,2,42,0,41,1,0
Athens Township,"5,058",5,0,2,,3,0,185,9,175,1,0
Avalon,"4,630",21,0,0,,2,19,72,4,62,6,0
Avis,"1,513",0,0,0,,0,0,4,0,4,0,0
Avoca,"2,661",2,0,0,,1,1,26,3,22,1,0
Avonmore Boro,976,0,0,0,,0,0,0,0,0,0,0
Baden,"4,018",5,0,1,,0,4,33,2,31,0,0
Baldwin Borough,"19,828",13,0,1,,6,6,165,48,102,15,0
Bally,"1,105",1,0,0,,0,1,0,0,0,0,0
Bangor,"5,189",37,0,1,,3,33,80,11,64,5,1
Beaver,"4,399",8,0,1,,2,5,85,5,76,4,1
Beaver Falls,"8,598",29,1,0,,10,18,318,34,266,18,2
Bedford,"2,724",7,0,0,,2,5,30,2,27,1,1
Bedminster Township,"7,123",2,0,0,,0,2,29,8,20,1,0
Bell Acres,"1,396",0,0,0,,0,0,5,1,4,0,0
Bellevue,"8,229",24,2,2,,10,10,183,31,141,11,0
Bellwood,"1,779",2,0,0,,0,2,39,3,35,1,0
Ben Avon,"1,776",0,0,0,,0,0,26,2,24,0,0
Ben Avon Heights,377,0,0,0,,0,0,9,1,8,0,0
Bensalem Township,"60,362",71,1,4,,34,32,"1,626",122,"1,436",68,8
Berlin,"2,003",1,0,0,,0,1,4,1,3,0,0
Bern Township,"6,967",5,0,0,,2,3,66,4,59,3,0
Berwick,"10,170",25,0,6,,2,17,240,23,211,6,1
Bethel Park,"32,077",22,0,0,,7,15,308,23,282,3,1
"Bethel Township, Berks County","4,136",0,0,0,,0,0,14,1,10,3,0
Bethlehem3,"74,869",,4,21,,58,,"1,487",213,"1,226",48,7
Bethlehem Township,"23,869",31,0,6,,4,21,384,29,345,10,4
Biglerville,"1,211",0,0,0,,0,0,12,0,12,0,0
Birdsboro,"5,158",7,0,1,,0,6,64,13,50,1,1
Birmingham Township,"4,272",0,0,0,,0,0,16,2,13,1,0
Blairsville,"3,304",9,0,0,,0,9,87,13,73,1,0
Blair Township,"4,564",0,0,0,,0,0,36,5,30,1,0
Blakely,"6,289",5,0,0,,1,4,68,8,59,1,0
Blawnox,"1,413",3,0,0,,0,3,1,0,1,0,0
Blossburg,"1,512",1,0,0,,0,1,4,1,3,0,0
Boyertown,"4,043",9,0,1,,1,7,139,16,119,4,0
Brackenridge,"3,201",14,1,1,,4,8,67,6,59,2,1
Braddock,"2,122",11,0,0,,1,10,4,0,4,0,0
Braddock Hills,"1,857",3,0,0,,0,3,22,4,18,0,0
Bradford,"8,459",81,0,4,,2,75,239,27,205,7,4
Bradford Township,"4,814",9,0,0,,0,9,15,2,13,0,1
"Brecknock Township, Berks County","4,636",1,0,0,,0,1,31,10,20,1,1
Brentwood,"9,486",22,0,0,,2,20,208,38,162,8,0
Briar Creek Township,"3,005",1,0,0,,0,1,27,6,21,0,0
Bridgeville,"5,081",6,0,1,,4,1,118,11,106,1,0
Bridgewater,690,3,0,0,,0,3,16,3,13,0,0
Brighton Township,"8,434",6,0,0,,0,6,22,4,18,0,0
Bristol,"9,539",17,1,1,,6,9,210,26,172,12,0
Bristol Township,"53,978",103,1,14,,50,38,"1,176",157,943,76,8
Brockway,"2,034",4,0,0,,0,4,22,5,16,1,0
Brookhaven,"8,090",15,0,0,,8,7,80,8,71,1,0
Brookville,"3,855",6,0,0,,0,6,38,3,34,1,0
Brownsville,"2,285",9,0,1,,3,5,31,5,22,4,0
Bryn Athyn,"1,397",0,0,0,,0,0,10,0,10,0,0
Buckingham Township,"20,440",3,0,2,,0,1,91,5,81,5,0
Buffalo Township,"7,258",8,1,1,,0,6,86,11,72,3,0
Buffalo Valley Regional,"12,284",3,0,0,,1,2,104,18,86,0,1
Burgettstown,"1,345",4,1,1,,1,1,36,11,23,2,0
